Name,Country,Rating,Age
Radjabov,Azerbaijan,2747,35
Mamedyarov,Azerbaijan,2776,36
Ding,China,2799,29
Firouzja,France,2785,19
Vachier-Lagrave,France,2737,32
Jobava,Georgia,2588,38
Anand,India,2754,52
Giri,Netherlands,2771,27
Carlsen,Norway,2864,31
Rapport,Romania,2740,26
Karjakin,Russia,2747,32
Nepomniachtchi,Russia,2793,32
So,USA,2760,29
Caruana,USA,2781,29
Nakamura,USA,2768,34
